,Compound_name,Molecular_weight,Polar_surface_area,Complexity,Partition_coef,Heavy_atom_count,H_bond_donor_count,H_bond_acceptor_count,Rotatable_bond_count,Exact_mass,Monoisotopic_mass,Formal_charge,Cov-bonded_unit_count,Isotope_atom_count,Total_atom_stereo_count,Defined_atom_stereo_count,Undefined_atoms_stereo_count,Total_bond_stereo_count,Defined_bond_stereo_count,Undefined_bond_stereo_count,Part_coef_group
499,Brequinar,375.4,50.2,551.0,5.6,28,1,5,3,375.107,375.107,0,1,0,0,0,0,0,0,0,Larger than 6
500,Amantadine hydrochloride,187.71,26.0,144.0,,12,2,1,0,187.113,187.113,0,2,0,0,0,0,0,0,0,Larger than 6
501,Chloroquine Phosphate,515.9,184.0,359.0,,32,7,11,8,515.135,515.135,0,3,0,1,0,1,0,0,0,Larger than 6
502,Epigallocatechin Gallate,458.4,197.0,667.0,1.2,33,8,11,4,458.085,458.085,0,1,0,2,2,0,0,0,0,Between -11 and 5
503,Artemisinin,282.33,54.0,452.0,2.8,20,0,5,0,282.147,282.147,0,1,0,7,7,0,0,0,0,Between -11 and 5
504,"1-((2S,3R,4S,5S)-3-Fluoro-4-hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-5-methylpyrimidine-2,4(1H,3H)-dione",260.22,99.1,413.0,-0.9,18,3,6,2,260.081,260.081,0,1,0,4,4,0,0,0,0,Between -11 and 5
505,Bis (2-Carboxyethylgermanium)sesquioxide,339.4,118.0,259.0,,15,2,7,8,339.886,341.885,0,1,0,0,0,0,0,0,0,Larger than 6
506,Clarithromycin,748.0,183.0,1190.0,3.2,52,4,14,8,747.477,747.477,0,1,0,18,18,0,0,0,0,Between -11 and 5
507,"2,6-Difluorophenol",130.09,20.2,87.1,2.0,9,1,3,0,130.023,130.023,0,1,0,0,0,0,0,0,0,Between -11 and 5
508,Moxifloxacin Hydrochloride,437.9,82.1,727.0,,30,3,8,4,437.152,437.152,0,2,0,2,2,0,0,0,0,Larger than 6
509,Levofloxacin,361.4,73.3,634.0,-0.4,26,1,8,2,361.144,361.144,0,1,0,1,1,0,0,0,0,Between -11 and 5
510,Olmesartan,446.5,130.0,656.0,3.2,33,3,7,8,446.207,446.207,0,1,0,0,0,0,0,0,0,Between -11 and 5
511,Tetrasul sulfoxide,340.0,36.3,307.0,5.2,18,0,2,2,339.886,337.889,0,1,0,1,0,1,0,0,0,Larger than 6
512,Ramelteon,259.339,38.3,331.0,2.7,19,1,2,4,259.157,259.157,0,1,0,1,1,0,0,0,0,Between -11 and 5
513,Darunavir,547.7,149.0,853.0,2.9,38,3,9,12,547.235,547.235,0,1,0,5,5,0,0,0,0,Between -11 and 5
514,Galactomannan,504.4,269.0,641.0,-6.3,34,11,16,7,504.169,504.169,0,1,0,15,15,0,0,0,0,Between -11 and 5
515,Mometasone furoate,521.4,93.8,1020.0,3.9,35,1,6,5,520.142,520.142,0,1,0,8,8,0,0,0,0,Between -11 and 5
516,Rosuvastatin,481.5,149.0,767.0,1.6,33,3,10,10,481.168,481.168,0,1,0,2,2,0,1,1,0,Between -11 and 5
517,Tenofovir,287.21,136.0,354.0,-1.6,19,3,8,5,287.078,287.078,0,1,0,1,1,0,0,0,0,Between -11 and 5
518,3-Cyclopentyl-1-(piperazin-1-yl)propan-1-one,210.32,32.299,206.0,1.6,15,1,2,3,210.173,210.173,0,1,0,0,0,0,0,0,0,Between -11 and 5
519,Azithromycin Dihydrate,785.0,182.0,1150.0,,54,7,16,7,784.53,784.53,0,3,0,18,18,0,0,0,0,Larger than 6
520,"D-Alanine, N-methylglycyl-L-arginyl-L-valyl-L-tyrosyl-L-isoleucyl-L-histidyl-L-prolyl-",926.1,358.0,1690.0,-2.3,66,12,13,26,925.513,925.513,0,1,0,8,8,0,0,0,0,Between -11 and 5
521,Arformoterol,344.4,90.8,388.0,1.8,25,4,5,8,344.174,344.174,0,1,0,2,2,0,0,0,0,Between -11 and 5
522,3-Hydroxybutyrate,103.1,60.4,63.8,0.1,7,1,3,1,103.04,103.04,-1,1,0,1,0,1,0,0,0,Between -11 and 5
523,Sitagliptin,407.31,77.0,566.0,0.7,28,1,10,4,407.118,407.118,0,1,0,1,1,0,0,0,0,Between -11 and 5
524,Best,572.3,101.0,412.0,,18,0,4,0,573.618,575.617,0,1,0,0,0,0,0,0,0,Larger than 6
525,Eprosartan,424.5,121.0,618.0,4.5,30,2,6,10,424.146,424.146,0,1,0,0,0,0,1,1,0,Between -11 and 5
526,Isotretinoin,300.4,37.3,567.0,6.3,22,1,2,5,300.209,300.209,0,1,0,0,0,0,4,4,0,Larger than 6
527,Epoprostenol,352.5,87.0,485.0,2.9,25,3,5,10,352.225,352.225,0,1,0,5,5,0,2,2,0,Between -11 and 5
528,Camostat mesylate,494.5,200.0,695.0,,34,3,9,9,494.147,494.147,0,2,0,0,0,0,0,0,0,Larger than 6
529,Fluticasone,444.5,99.9,861.0,3.2,30,2,8,3,444.158,444.158,0,1,0,9,9,0,0,0,0,Between -11 and 5
530,Tenofovir disoproxil,519.4,185.0,698.0,1.6,35,1,14,17,519.173,519.173,0,1,0,1,1,0,0,0,0,Between -11 and 5
531,Refanalin,176.24,56.9,170.0,2.2,12,1,2,2,176.041,176.041,0,1,0,0,0,0,1,1,0,Between -11 and 5
532,Sulodexide,295.29,115.0,363.0,0.2,21,3,8,4,295.128,295.128,0,1,0,4,4,0,0,0,0,Between -11 and 5
533,Metampicillin,361.4,124.0,603.0,3.0,25,2,6,5,361.11,361.11,0,1,0,4,4,0,0,0,0,Between -11 and 5
534,Ciclesonide,540.7,99.1,1100.0,5.3,39,1,7,6,540.309,540.309,0,1,0,9,9,0,0,0,0,Larger than 6
535,Dutasteride,528.5,58.2,964.0,5.4,37,2,8,2,528.221,528.221,0,1,0,7,7,0,0,0,0,Larger than 6
536,Prasugrel,373.4,74.8,555.0,3.6,26,0,6,6,373.115,373.115,0,1,0,1,0,1,0,0,0,Between -11 and 5
537,Almitrine mesylate,669.8,195.0,694.0,,45,4,15,10,669.221,669.221,0,3,0,0,0,0,0,0,0,Larger than 6
538,Ile-Ser,218.25,113.0,232.0,-3.3,15,4,5,6,218.127,218.127,0,1,0,3,3,0,0,0,0,Between -11 and 5
539,butyl (3-(4-((1H-imidazol-1-yl)methyl)phenyl)-5-isobutylthiophen-2-yl)sulfonylcarbamate,475.6,127.0,690.0,5.3,32,1,6,11,475.16,475.16,0,1,0,0,0,0,0,0,0,Larger than 6
540,Vidofludimus,355.4,75.6,576.0,3.4,26,2,5,5,355.122,355.122,0,1,0,0,0,0,0,0,0,Between -11 and 5
541,Reparixin,283.39,71.6,389.0,2.9,19,1,3,5,283.124,283.124,0,1,0,1,1,0,0,0,0,Between -11 and 5
542,Ticagrelor,522.6,164.0,736.0,2.0,36,4,12,10,522.186,522.186,0,1,0,6,6,0,0,0,0,Between -11 and 5
543,Anhydrous Ceftriaxone Sodium,577.6,288.0,1110.0,,37,4,13,8,577.036,577.036,0,2,0,2,2,0,1,1,0,Larger than 6
544,Tradipitant,587.9,73.6,865.0,6.2,41,0,11,6,587.095,587.095,0,1,0,0,0,0,0,0,0,Larger than 6
545,CID 9939931,701.6,316.0,819.0,,47,12,9,18,700.261,700.261,0,2,0,4,4,0,2,2,0,Larger than 6
546,1-Palmitoyl-2-linoleoyl-3-acetyl-rac-glycerol,635.0,78.9,744.0,14.1,45,0,6,36,634.517,634.517,0,1,0,1,0,1,2,2,0,Larger than 6
547,Zinforo,744.7,368.0,1240.0,,47,5,19,10,744.031,744.031,0,2,0,2,2,0,1,1,0,Larger than 6
548,Linagliptin,472.5,114.0,885.0,1.9,35,1,7,4,472.234,472.234,0,1,0,1,1,0,0,0,0,Between -11 and 5
549,"2-(2-Chloro-4-iodophenylamino)-3,4-difluorobenzoic acid",409.55,49.3,363.0,5.0,20,2,5,3,408.918,408.918,0,1,0,0,0,0,0,0,0,Between -11 and 5
550,Edoxaban,548.1,165.0,880.0,1.4,37,3,8,5,547.177,547.177,0,1,0,3,3,0,0,0,0,Between -11 and 5
551,Transcrocetinate sodium,372.4,80.3,597.0,,26,0,4,6,372.131,372.131,0,3,0,0,0,0,7,7,0,Larger than 6
552,Galidesivir,265.27,140.0,334.0,-2.1,19,6,7,2,265.117,265.117,0,1,0,4,4,0,0,0,0,Between -11 and 5
553,"4,5-Dihydro-3-phenyl-5-isoxazoleacetic acid",205.21,58.9,269.0,1.3,15,1,4,3,205.074,205.074,0,1,0,1,0,1,0,0,0,Between -11 and 5
554,5-Cholesten-3beta-25-diol-3-sulfate,482.7,92.2,858.0,6.4,33,2,5,7,482.307,482.307,0,1,0,8,8,0,0,0,0,Larger than 6
555,"disodium;(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-6-oxido-5-oxo-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate;hydrate",616.6,298.0,1120.0,,39,3,15,7,616.021,616.021,0,4,0,2,2,0,1,1,0,Larger than 6
556,Losartan potassium,461.0,77.7,526.0,,31,1,6,8,460.118,460.118,0,2,0,0,0,0,0,0,0,Larger than 6
557,Lopinavir and ritonavir,1349.7,322.0,1980.0,,96,8,14,33,1348.68,1348.68,0,2,0,8,8,0,0,0,0,Larger than 6
558,"N-[5-[[2-(2,6-dimethylphenoxy)acetyl]amino]-4-hydroxy-1,6-diphenylhexan-2-yl]-3-methyl-2-(2-oxo-1,3-diazinan-1-yl)butanamide;1,3-thiazol-5-ylmethyl N-[(2S,3S,5S)-3-hydroxy-5-[[(2S)-3-methyl-2-[[methyl-[(2-propan-2-yl-1,3-thiazol-4-yl)methyl]carbamoyl]amino]butanoyl]amino]-1,6-diphenylhexan-2-yl]carbamate",1349.7,322.0,1980.0,,96,8,14,33,1348.68,1348.68,0,2,0,8,4,4,0,0,0,Larger than 6
559,"S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (2S)-2-[4-(2-methylpropyl)phenyl]propanethioate",955.8,389.0,1660.0,-1.9,62,9,22,24,955.235,955.235,0,1,0,6,6,0,0,0,0,Between -11 and 5
560,Bivalirudin,2180.3,902.0,4950.0,-7.1,155,28,35,67,2179.99,2178.99,0,1,0,16,16,0,0,0,0,Between -11 and 5
561,Thymalfasin,3108.3,1460.0,7190.0,-24.0,217,49,59,111,3107.51,3106.5,0,1,0,32,32,0,0,0,0,Smaller than -10
562,CID 16219160,397.6,74.6,707.0,,27,2,4,3,397.178,397.178,0,2,0,6,6,0,0,0,0,Larger than 6
563,Sodium valproate,166.19,40.1,98.3,,11,0,2,5,166.097,166.097,0,2,0,0,0,0,0,0,0,Larger than 6
564,"N,N-Diethyl-(2-(4-(2-(18F)fluoroethoxy)phenyl)-5,7-dimethylpyrazolo(1,5-A)pyrimidine-3-YL)acetamide",397.5,59.7,525.0,3.2,29,0,5,8,397.214,397.214,0,1,1,0,0,0,0,0,0,Between -11 and 5
565,Amoxicillin sodium,387.4,161.0,596.0,,26,3,7,4,387.086,387.086,0,2,0,4,4,0,0,0,0,Larger than 6
566,Potassium canrenoate,396.6,77.4,713.0,,27,1,4,3,396.17,396.17,0,2,0,6,6,0,0,0,0,Larger than 6
567,Hydrocortisone sodium succinate,484.5,141.0,915.0,,34,2,8,7,484.207,484.207,0,2,0,7,7,0,0,0,0,Larger than 6
568,Piperacillin-tazobactam,839.8,315.0,1560.0,,57,3,15,9,839.198,839.198,0,3,0,7,7,0,0,0,0,Larger than 6
569,Antroquinonol,390.6,55.8,648.0,5.8,28,1,4,10,390.277,390.277,0,1,0,3,3,0,2,2,0,Larger than 6
570,Brilacidin,936.9,314.0,1560.0,0.3,66,10,18,20,936.394,936.394,0,1,0,2,2,0,0,0,0,Between -11 and 5
571,Ruxolitinib phosphate,404.4,161.0,503.0,,28,4,8,4,404.136,404.136,0,2,0,1,1,0,0,0,0,Larger than 6
572,Baricitinib,371.4,129.0,678.0,-0.5,26,1,7,5,371.116,371.116,0,1,0,0,0,0,0,0,0,Between -11 and 5
573,"(2R,3R,4S,5R)-2-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-carbonitrile",291.26,150.0,456.0,-1.4,21,4,8,2,291.097,291.097,0,1,0,4,4,0,0,0,0,Between -11 and 5
574,Metformin glycinate,204.23,155.0,175.0,,14,5,4,3,204.133,204.133,0,2,0,0,0,0,0,0,0,Larger than 6
575,1-Palmityl-2-(4-carboxybutyl)-SN-glycero-3-phosphocholine,581.8,114.0,606.0,6.7,39,1,8,30,581.406,581.406,0,1,0,1,1,0,0,0,0,Larger than 6
576,3-phenyl-4-propyl-1-(pyridin-2-yl)-1H-pyrazol-5-ol,279.34,45.2,412.0,3.7,21,1,3,4,279.137,279.137,0,1,0,0,0,0,0,0,0,Between -11 and 5
577,Ozanimod,404.5,104.0,609.0,3.1,30,2,7,7,404.185,404.185,0,1,0,1,1,0,0,0,0,Between -11 and 5
578,Sabizabulin,377.4,89.2,534.0,3.4,28,2,5,6,377.138,377.138,0,1,0,0,0,0,0,0,0,Between -11 and 5
579,Zavegepant,638.8,117.0,1160.0,3.1,47,3,6,6,638.369,638.369,0,1,0,1,1,0,0,0,0,Between -11 and 5
580,CID 53477736,749.0,180.0,1150.0,4.0,52,5,14,7,748.509,748.509,0,1,0,18,18,0,0,0,0,Between -11 and 5
581,Danoprevir (RG7227),731.8,189.0,1530.0,3.3,51,3,10,8,731.3,731.3,0,1,0,5,5,0,1,1,0,Between -11 and 5
582,Solu-Medrol,497.5,138.0,981.0,,35,3,8,7,497.215,497.215,1,2,0,8,8,0,0,0,0,Larger than 6
583,Vericiguat,426.4,147.0,622.0,1.5,31,3,10,5,426.136,426.136,0,1,0,0,0,0,0,0,0,Between -11 and 5
584,Aldose reductase-IN-1,421.4,137.0,706.0,2.3,29,1,11,4,421.046,421.046,0,1,0,0,0,0,0,0,0,Between -11 and 5
585,Ixazomib citrate,517.1,168.0,797.0,,34,4,9,11,516.087,516.087,0,1,0,1,1,0,0,0,0,Larger than 6
586,Vidofludimus calcium anhydrous,748.8,157.0,571.0,,53,2,10,8,748.191,748.191,0,3,0,0,0,0,0,0,0,Larger than 6
587,Upadacitinib,380.4,78.3,561.0,2.7,27,2,6,3,380.157,380.157,0,1,0,2,2,0,0,0,0,Between -11 and 5
588,Asapiprant,501.6,131.0,789.0,3.1,35,1,10,9,501.157,501.157,0,1,0,0,0,0,0,0,0,Between -11 and 5
589,"1,1'-hexamethylene bis[5-(p-chlorophenyl) biguanide] di-D-gluconate",735.7,317.0,819.0,,48,13,10,18,734.249,734.249,0,3,0,4,4,0,2,2,0,Larger than 6
590,Proxalutamide,517.5,118.0,894.0,4.3,36,0,10,6,517.12,517.12,0,1,0,0,0,0,0,0,0,Between -11 and 5
591,Rocefin,652.6,300.0,1120.0,,41,5,17,7,652.042,652.042,0,6,0,2,2,0,1,1,0,Larger than 6
592,Galidesivir hydrochloride,301.73,140.0,334.0,,20,7,7,2,301.094,301.094,0,2,0,4,4,0,0,0,0,Larger than 6
593,Entresto,1916.0,396.0,1140.0,,135,7,29,40,1915.81,1914.81,0,15,0,6,6,0,0,0,0,Larger than 6
594,"(2R,6S,12Z,13aS,14aR,16aS)-6-[(tert-Butoxycarbonyl)amino]-14a-[(cyclopropylsulfonyl)carbamoyl]-5,16-dioxo-1,2,3,5,6,7,8,9,10,11,13a,14,14a,15,16,16a-hexadecahydrocyclopropa[e]pyrrolo[1,2-a][1,4]diazacyclopentadecin-2-yl 4-fluoro-1,3-dihydro-2H-isoindole-2-carboxylate",731.8,189.0,1530.0,3.3,51,3,10,8,731.3,731.3,0,1,0,5,5,0,1,1,0,Between -11 and 5
595,Harvoni,1418.4,327.0,2730.0,,101,7,21,23,1417.58,1417.58,0,2,0,12,12,0,0,0,0,Larger than 6
596,Abivertinib,487.5,98.4,752.0,4.2,36,3,8,7,487.213,487.213,0,1,0,0,0,0,0,0,0,Between -11 and 5
597,Legalon SIL,1453.1,495.0,1200.0,,102,6,32,24,1452.23,1452.23,0,6,0,8,8,0,0,0,0,Larger than 6
598,Maltofer,449.16,200.0,367.0,,27,11,14,8,449.059,449.059,0,5,0,9,9,0,0,0,0,Larger than 6
599,Zunsemetinib,513.9,101.0,888.0,2.5,36,1,9,6,513.138,513.138,0,1,0,0,0,0,0,0,0,Between -11 and 5
600,Treamid,318.37,116.0,345.0,-0.7,23,4,4,10,318.18,318.18,0,1,0,0,0,0,0,0,0,Between -11 and 5
601,CID 87071853,1003.2,299.0,767.0,,67,6,20,20,1002.3,1002.3,0,3,0,4,4,0,2,2,0,Larger than 6
602,"disodium;[2-[(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] phosphate;hydrate",534.4,148.0,962.0,,35,3,10,3,534.141,534.141,0,4,0,8,8,0,0,0,0,Larger than 6
603,Heparin sodium,1157.9,652.0,2410.0,,71,15,38,21,1157.0,1157.0,1,2,0,20,0,20,0,0,0,Larger than 6
604,CID 101731853,2088.6,933.0,4400.0,3.1,140,40,48,73,2086.96,2086.96,0,1,0,18,16,2,0,0,0,Between -11 and 5
605,"N-(5-Oxidanyl-1,3-Benzothiazol-2-Yl)ethanamide",208.24,90.5,237.0,1.5,14,2,4,1,208.031,208.031,0,1,0,0,0,0,0,0,0,Between -11 and 5
606,Danicopan,580.4,123.0,891.0,3.3,38,1,8,6,579.103,579.103,0,1,0,2,2,0,0,0,0,Between -11 and 5
607,"Disodium;2-[[2-[[4-(2,2-dimethylpropanoyloxy)phenyl]sulfonylamino]benzoyl]amino]acetate",479.4,150.0,726.0,,32,2,8,8,479.086,479.086,1,3,0,0,0,0,0,0,0,Larger than 6
608,"propan-2-yl (2S)-2-[[[(3R,4R,5R)-5-[2-amino-6-(methylamino)purin-9-yl]-4-fluoro-3-hydroxy-4-methyloxolan-2-yl]methoxy-phenoxyphosphoryl]amino]propanoate",581.5,185.0,919.0,1.7,40,4,14,12,581.216,581.216,0,1,0,6,5,1,0,0,0,Between -11 and 5
609,"[(1S,4R,6S,7E,18R)-4-(cyclopropylsulfonylcarbamoyl)-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-en-18-yl] 4-fluoro-1,3-dihydroisoindole-2-carboxylate",731.8,189.0,1530.0,3.3,51,3,10,8,731.3,731.3,0,1,0,5,4,1,1,1,0,Between -11 and 5
610,Eclitasertib,378.4,113.0,570.0,1.7,28,2,6,4,378.144,378.144,0,1,0,1,1,0,0,0,0,Between -11 and 5
611,Dazcapistat,395.4,115.0,611.0,2.9,29,2,6,7,395.128,395.128,0,1,0,1,0,1,0,0,0,Between -11 and 5
612,Bexotegrast,492.6,113.0,655.0,1.8,36,3,9,14,492.285,492.285,0,1,0,1,1,0,0,0,0,Between -11 and 5
613,Estetrol monohydrate,322.4,81.9,441.0,,23,5,5,0,322.178,322.178,0,2,0,7,7,0,0,0,0,Larger than 6
614,Sildenafil,474.6,118.0,838.0,1.5,33,1,8,7,474.205,474.205,0,1,0,0,0,0,0,0,0,Between -11 and 5
615,Azilsartan,456.4,115.0,783.0,4.4,34,2,7,7,456.143,456.143,0,1,0,0,0,0,0,0,0,Between -11 and 5
616,Echinochrome A,266.2,135.0,455.0,2.0,19,5,7,1,266.043,266.043,0,1,0,0,0,0,0,0,0,Between -11 and 5
617,F-Arag F-18,284.23,135.0,449.0,-0.9,20,4,7,2,284.09,284.09,0,1,1,4,4,0,0,0,0,Between -11 and 5
618,Apabetalone,370.4,89.4,543.0,2.3,27,2,6,6,370.153,370.153,0,1,0,0,0,0,0,0,0,Between -11 and 5
619,"4-acetamidobenzoic acid;9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one;(2R)-1-(dimethylamino)propan-2-ol",1115.2,399.0,658.0,,79,13,22,14,1114.55,1114.55,0,7,0,7,7,0,0,0,0,Larger than 6
620,"[(1R,3R)-4-[(15Z,17E)-16-formyl-18-(4-hydroxy-2,2,6,6-tetramethylcyclohexyl)-3,7,12-trimethyl-14-oxooctadeca-2,4,6,8,10,12,15,17-octaenylidene]-3-hydroxy-3,5,5-trimethylcyclohexyl] acetate",672.9,101.0,1480.0,9.3,49,2,6,13,672.439,672.439,0,1,0,2,2,0,9,2,7,Larger than 6
621,Abivertinib maleate,639.6,175.0,871.0,,46,7,14,9,639.245,639.245,0,4,0,0,0,0,1,1,0,Larger than 6
622,"7-[[2-(2-Amino-1,3-thiazol-4-yl)-2-(2,2-dimethylpropanoyloxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",509.6,227.0,961.0,1.1,34,3,12,10,509.104,509.104,0,1,0,2,0,2,1,0,1,Between -11 and 5
623,Unii-T5UX5skk2S,452.5,120.0,723.0,3.5,33,4,4,9,452.242,452.242,0,1,0,3,3,0,0,0,0,Between -11 and 5
624,"azane;(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",359.33,191.0,382.0,,24,9,12,4,359.143,359.143,0,2,0,10,10,0,0,0,0,Larger than 6
625,Nezulcitinib,527.7,104.0,866.0,3.6,39,3,6,6,527.301,527.301,0,1,0,1,1,0,0,0,0,Between -11 and 5
626,P9Zqs28F8C,403.5,86.9,712.0,3.6,28,2,4,4,403.193,403.193,0,1,0,1,1,0,1,1,0,Between -11 and 5
627,Lufotrelvir,552.5,196.0,927.0,0.5,38,6,9,13,552.199,552.199,0,1,0,3,3,0,0,0,0,Between -11 and 5
628,Nirmatrelvir,499.5,131.0,964.0,2.2,35,3,8,7,499.241,499.241,0,1,0,6,6,0,0,0,0,Between -11 and 5
629,"hexasodium;4-[[(2S,4R)-5-ethoxy-4-methyl-5-oxo-1-(4-phenylphenyl)pentan-2-yl]amino]-4-oxobutanoate;hydride;(2S)-3-methyl-2-[pentanoyl-[[4-[2-(1,2,3-triaza-4-azanidacyclopenta-2,5-dien-5-yl)phenyl]phenyl]methyl]amino]butanoate;pentahydrate",1922.0,396.0,1140.0,,135,7,35,40,1921.86,1920.85,-6,21,0,6,6,0,0,0,0,Larger than 6
630,Nangibotide,1342.5,634.0,2630.0,-8.3,92,20,24,45,1341.53,1341.53,0,1,0,10,10,0,0,0,0,Between -11 and 5
